,course,channel_name,playlist_id
127,JavaScript 2.0,WebDev с нуля. Канал Алекса Лущенко,PLM7wFzahDYnEltE-aVGhRHYPwIJn0Xquu
128,Aprende a hacer un juego en Javascript,Java Dev One,PLN9W6BC54TJLlH57qvG2aN9F99xaAk6Df
129,Vanilla Javascript Tutorials,Dev Ed,PLDyQo7g0_nsXlSfuoBpG5Fgz0Qe3IvWnA
130,JAVASCRIPT 2020,free udemy,PLA5kSHEE2hqclxI240316vu1XeTxor8Vn
131,JavaScript Решает,WebDev с нуля. Канал Алекса Лущенко,PLM7wFzahDYnG-oMkclNX0FIcLZR18hFDM
132,JavaScript講座,しまぶーのIT大学,PLwM1-TnN_NN7-zdRV8YsGUB82VVhfYiWW
133,HTML / CSS / Javascript / jQuery 新手網站線上課程教學,Progress Bar 進度條線上課程,PL2SrkGHjnWcwfkYtccRowRAxWE6TakOjC
134,자바스크립트(Javascript) 강의 강좌 Quick Start  + DOM 프로그래밍  for VanillaJS,뉴렉처,PLq8wAnVUcTFWhQrIXNN6kPYXJA6X2IQM4
135,Modern JavaScript ES6 Tutorial in Hindi in 2020,Thapa Technical,PLwGdqUZWnOp19VX-DM4oHtmWhDfWblFh-
136,JavaScript Interview Question Preparation,techsith,PL7pEw9n3GkoWn5TcqAdmSzXcvC3d_tfAh
137,JavaScript,LES TEACHERS DU NET,PLlxQJeQRaKDQVpSsy6ORfpamB-x6cEpgF
138,The 10 Days of JavaScript,LearnWebCode,PLpcSpRrAaOaoIqHQddZOdbRrzr5dJtgSs
139,Học JavaScript,thân triệu,PLE1qPKuGSJaDd2AiY_FkSJ2TVyuDal_k8
140,JavaScript and the HTML DOM - Tutorial Playlist,freeCodeCamp.org,PLWKjhJtqVAbllLK6r2dnGjUVWB_cFNcuO
141,Crockford on JavaScript,YUI Library,PL7664379246A246CB
142,"Curso HTML5, CSS3 y JavaScript Gratis",OpenWebinars,PLf8XMtbjh0dVdJEru1dWygVwpOpx6TfG-
143,Corso JavaScript livello intermedio,AndreaRizzieri,PL1fahJjBIbrc_qfzlyeZotww4otgWyMwH
144,Data Structures and Algorithms - Beau teaches JavaScript,freeCodeCamp.org,PLWKjhJtqVAbkso-IbgiiP48n-O-JQA9PJ
145,מדריך Javascript,אלי נעים - מדריך לתכנות,PLEtZq1oDporgAWT3JJdj9ZJb2nY2dvSdb
146,JavaScript asoslari,Farkhod Dadajanov,PL_WK6W0Gn1I7bL0pRUxYSbTj6g8tHU6Yq
147,JavaScript入門,チュートリアル道場,PLXOP1_-wmgsCGDvxHpXZCiT00PvJvltOK
148,Learn JavaScript OOP,Elzero Web School,PLDoPjvoNmBAzLyvrWPwMw6bbBlTwPxgLF
149,Best Javascript Tutorial For Beginners in Telugu,SEO Skills,PLp0XgOsoW2Xbr6NjcD0X4Kv-B8GXblXGs
150,Best Javascript Tutorial For Beginners in Telugu,SEO Skills,PLp0XgOsoW2Xbr6NjcD0X4Kv-B8GXblXGs
151,Aprende JavaScript esencial en español,Wmedia by Juan Andrés Núñez,PLM-Y_YQmMEqAedHjvY3_v7EfGfFCHXYHv
152,JavaScript in Telugu || JavaScript in Telugu by Kotha Abhishek,KOTHA ABHISHEK,PLv_sM9ZH4RUW_Pgz-6B0Q-YTfWvC7RVFN
153,JavaScript Object Oriented Programming,생활코딩,PLuHgQVnccGMAMctarDlPyv6upFUUnpSO3
154,"HTML, CSS, and Javascript for Web Developers",intrigano,PL2jykFOD1AWaTJqB6v2cwJe_qFfCdR9yF
155,JavaScript by manideep,Durga Software Solutions,PLd3UqWTnYXOmddZ5sXdfs-mEhLh9I6nAR
156,Javascript Full Course in Tamil - In Depth Javascript Tutorials in Tamil,Tamil Developer,PLpYn3LR7eQI3hjh129Bkqkw7onut28hTK
157,Javascript Coding Challenges 2017,whatsdev,PLkBfv4fGBau-q9tGBUgVoGClRsSBiiZm8
158,Curso de JavaScript - Programação para Web,Bóson Treinamentos,PLucm8g_ezqNrXkDWHtgvtU9RGuauEs_xz
159,"Build a Quiz App with HTML, CSS, and JavaScript",James Q Quick,PLDlWc9AfQBfZIkdVaOQXi1tizJeNJipEx
160,Javascript [HUN],TheHUNTutorials,PLuYHIg_0xQJsiwA4jrXTWaIdqMGJQ4sAU
161,Lập trình Nodejs: Xử lý bất đồng bộ trong Javascript với Promise và Async – Await,Trung Tâm Đào Tạo Tin Học Khoa Phạm,PLzrVYRai0riRaLjgZe00gPMyLI1NdWcpL
162,Super Mario Bros in JavaScript,Meth Meth Method,PLS8HfBXv9ZWWe8zXrViYbIM2Hhylx8DZx
163,Javascript Tutorials,codedamn,PLYxzS__5yYQlwfMje_MxQPb18tXtCJbfR
164,corso Javascript - 2019 italiano,Andrea Tomasello,PL1hmRmW_B-wLJm5RWXpJK01Ry1CrJEEcB
165,Javascript Algorithms + Data Structures,KodingKevin,PLn2ipk-jqgZiAHiA70hOxAj8RMUeqYNK3
166,javascript tutorial in malayalam,Tintu Vlogger,PLBKJGko2JEdF4irCbI5BdHIEfxEdfMNqA
167,Базовый JavaScript,Андрей Андриевский,PLMB6wLyKp7lWhGCKhJVII3ag-KfH1qz6U
168,Видеокурс по JavaScript Advanced,ITVDN,PLvItDmb0sZw_-AAcqd6XeZxJMKdv55_mS
169,Курс JavaScript - Основы JS WEB,WebUpBlog - Уроки веб разработки,PL5FCJIdFxiLl0tFixxTFWDspnOqPKgjg4
170,Object Oriented Programming in JavaScript,techsith,PL7pEw9n3GkoW0ceMeoycg9D00YjPAbtvt
171,JavaScript Promises,The Coding Train,PLRqwX-V7Uu6bKLPQvPRNNE65kBL62mVfx
172,Видеокурс по JavaScript Essential,ITVDN,PLvItDmb0sZw8opJURj5eHdfdU5bnnhE5W
173,Курс JavaScript Basic (ES6),EasyCode,PLlwtdxQXoJAtV52YQ4wZIqEg4-Q0vIgzh
174,JavaScript Full Tutorial in Hindi,Sahosoft Solutions,PL_qizAfcpJ-MJhh9DqbaFQ2aKZutCbyGp
175,JavaScript SEO,Google Search Central,PLKoqnv2vTMUPOalM1zuWDP9OQl851WMM9
176,Asynchronous JavaScript (2020 version),The Net Ninja,PL4cUxeGkcC9jx2TTZk3IGWKSbtugYdrlu
177,Tutoriales Javascript intermedio/avanzado,latincoder,PLAAhC8kCE0VlfmKREk2JJ-hFRPpTl3Daq
178,Curso de JavaScript desde cero - Principiantes,Bluuweb !,PLPl81lqbj-4J_AQ3YYnzusbt7FpeL2oea
179,Must-know JavaScript Features,Fun Fun Function,PL0zVEGEvSaeHJppaRLrqjeTPnCH6vw-sm
180,עונה 3 - לימוד JAVA SCRIPT,"מאנקיס - לימוד HTML 5 , פלאש , PHP , JAVA SCRIPT , CSS - עופר שלי מדריך / מורה פרטי",PLP-UKVDk32Jgw-sE0-UPIq-O1WIeemlth
181,"HTML, CSS, JavaScript, Bootstrap Tutorial by Harsha Sir",Durga Software Solutions,PLd3UqWTnYXOnHZNpQwS0dBs_elseOuPVB
182,Beau teaches JavaScript,freeCodeCamp.org,PLWKjhJtqVAbmoiNlqLJg1gxEjEuKHHcn_
183,JavaScript Training Videos in Telugu - VlrTraining,VLR Training,PLXx2-0oYp1LMPHTbwFkLV2rRTw1q4eMx3
184,БЕСПЛАТНЫЙ курс по JAVASCRIPT 2020. Уроки JavaScript с нуля,Фрилансер по жизни - IT и фриланс,PLM6XATa8CAG7DDIBjNVd78Fv5Ueo930IV
185,JavaScript Design Patterns,webDev,PLNkWIWHIRwMGzgvuPRFkDrpAygvdKJIE4
186,JavaScript ES6 Tutorial Bangla,Rabbil Hasan,PLkyGuIcLcmx2Fw5adzhL7q9fJ0PQoU3i7
187,Video Corso Javascript ITA,fcamuso,PL1A447BA7F7F9EB9E
188,Codecademy : Javascript,Caleb H,PLB98B2D1887BCDE24
189,JavaScript tutorial for Beginners,Automation Step by Step - Raghav Pal,PLhW3qG5bs-L9MspCEDoTa4TuGJ3K9k9F_
190,JavaScript Interview Questions,Steve Griffith,PLyuRouwmQCjlLW9NjqoBbf9eVaFX4F9UZ
191,ES6 for Beginners - Modern JavaScript,MySirG.com,PL7ersPsTyYt2J6lT_66xNBuUI_tqt5niK
192,JavaScript Tutorijali za Pocetnike,Programiranje Tutorijali,PLDEPU7oft31mUaD7mHfgc1K-KimdwbWCC
193,Unit testing in Javascript,Fun Fun Function,PL0zVEGEvSaeF_zoW9o66wa_UCNE3a7BEr
194,Javascript Projects,Coding Addict,PLnHJACx3NwAey1IiiYmxFbXxieMYqnBKF
195,JavaScript,Syed Mushtaq ahmed,PLeJkRo2LudJkX0F5iK6Vikc_7Klufd_QI
196,Form Validation in JavaScript in Hindi 2017,Thapa Technical,PLwGdqUZWnOp0j0wDMDapjCSS6YdPvmUMJ
197,JavaScript Fundamentals,techsith,PL7pEw9n3GkoVYU-ZKBrDnxIiiUn0YP-uO
198,آموزش فارسی جاوا اسکریپت مقدماتی تا پیشرفته - JavaScript Tutorial,kalagar,PLV6mGBuPqmYuZEAJN7IBxkdNCzKXAGpqD
199,Learn Javascript 2017 (Complete Javascript Course),whatsdev,PLkBfv4fGBau8fiRFU5WytRjXFJmBWhHXQ
200,Beau teaches JavaScript,freeCodeCamp.org,PLWKjhJtqVAbmoiNlqLJg1gxEjEuKHHcn_
201,JavaScript Training Videos in Telugu - VlrTraining,VLR Training,PLXx2-0oYp1LMPHTbwFkLV2rRTw1q4eMx3
202,БЕСПЛАТНЫЙ курс по JAVASCRIPT 2020. Уроки JavaScript с нуля,Фрилансер по жизни - IT и фриланс,PLM6XATa8CAG7DDIBjNVd78Fv5Ueo930IV
203,Hitesh Choudhary Javascript Playlist - In the right order! (If I made a mistake let me know),Sam Damask,PLF1prIMD1zh5wAhraIUvi710z55A5-Wdi
204,JavaScript Design Patterns,webDev,PLNkWIWHIRwMGzgvuPRFkDrpAygvdKJIE4
205,JavaScript ES6 Tutorial Bangla,Rabbil Hasan,PLkyGuIcLcmx2Fw5adzhL7q9fJ0PQoU3i7
206,Codecademy : Javascript,Caleb H,PLB98B2D1887BCDE24
207,JavaScript tutorial for Beginners,Automation Step by Step - Raghav Pal,PLhW3qG5bs-L9MspCEDoTa4TuGJ3K9k9F_
208,Курс Практический JavaScript,WebDev с нуля. Канал Алекса Лущенко,PLM7wFzahDYnFxysA3eKw3yj3exkw-qFMR
209,JavaScript Interview Questions,Steve Griffith,PLyuRouwmQCjlLW9NjqoBbf9eVaFX4F9UZ
210,ES6 for Beginners - Modern JavaScript,MySirG.com,PL7ersPsTyYt2J6lT_66xNBuUI_tqt5niK
211,JavaScript Tutorijali za Pocetnike,Programiranje Tutorijali,PLDEPU7oft31mUaD7mHfgc1K-KimdwbWCC
212,Unit testing in Javascript,Fun Fun Function,PL0zVEGEvSaeF_zoW9o66wa_UCNE3a7BEr
213,Javascript Projects,Coding Addict,PLnHJACx3NwAey1IiiYmxFbXxieMYqnBKF
214,Form Validation in JavaScript in Hindi 2017,Thapa Technical,PLwGdqUZWnOp0j0wDMDapjCSS6YdPvmUMJ
215,JavaScript Fundamentals,techsith,PL7pEw9n3GkoVYU-ZKBrDnxIiiUn0YP-uO
216,JavaScript Tutorial - Jul 2018 - by Harsha Sir,Durga Software Solutions,PLd3UqWTnYXOnN6jwdv8b2PmG46fkhcsTQ
217,آموزش فارسی جاوا اسکریپت مقدماتی تا پیشرفته - JavaScript Tutorial,kalagar,PLV6mGBuPqmYuZEAJN7IBxkdNCzKXAGpqD
218,JavaScript,webDev,PLNkWIWHIRwMHKLotIS_d-wyj00pg0AnUg
219,Learn Javascript 2017 (Complete Javascript Course),whatsdev,PLkBfv4fGBau8fiRFU5WytRjXFJmBWhHXQ
220,Javascript FullStack,Fazt Code,PLo5lAe9kQrwq7n_REwpZdfggPCBW2ggnh
221,javaScript 2.Semestar,Danilo Vesovic,PLXNTNfUTUEe5q-sUTFgrIZE0PdPuj7GxV
222,ES6 - Beau teaches JavaScript,freeCodeCamp.org,PLWKjhJtqVAbljtmmeS0c-CEl2LdE-eR_F
223,Java Script,Web Odası,PLkAqDZGjJrkBZNhFC2o4T_5OA6v_WdnvL
224,Core Javascript Fundamentals,Akshay Saini,PLlasXeu85E9eLVlWFs-nz5PKXJU4f7Fks
225,Vanilla Javascript,Online Tutorials,PL5e68lK9hEzd6RUzREoABqimRI4SY63ND
226,Javascript (ES6) Tutorials in Tamil,Coda - Programming In Tamil,PLB8qmogP8oMwFdeaeThAbsR9Vh-873SWb
227,Mengenal DOM Javascript,Sekolah Koding,PLCZlgfAG0GXCYyHqv8llpZpnTpnCRs94G
228,JavaScript in the Browser,Steve Griffith,PLyuRouwmQCjmQTKvgqIgah03HF1wrYkA9
229,JavaScript for Beginners,Tech With Tim,PLzMcBGfZo4-njtc5xy3qli4cN2zlKsoxd
230,WebDriverIO - JavaScript Tool - By Naveen AutomationLabs,Naveen AutomationLabs,PLFGoYjJG_fqqswF8qDdWNG3b-BtZfiqQn
231,The 5-Day React JavaScript Challenge 🌐💻,Clever Programmer,PL-J2q3Ga50oNQP__onO64kAHX_z0BdLv6
232,Sifirdan JavaScript  Dersleri,Sifirdan Bire Hersey,PLlwCSYvmr0TQdQWsbmRQcLhjTTVWFxLRb
233,Modern JavaScript Bangla Tutorials,JS Bangladesh,PL4iFnndHlduhY_C69D8XSVqG7IOdbzmfb
234,That Weird JavaScript Course,Fireship,PL0vfts4VzfNixzfaQWwDUg3W5TRbE7CyI
235,Introduction to JavaScript,Web Dev Simplified,PLZlA0Gpn_vH9k5ju1yq9qCDqvtuTVgTr6
236,javascript tutorial for beginners in hindi,wap institute,PLfxALjnZodrs67MxOvyK6w9c3bynMrEgY
237,CodeCombat JavaScript Tutorials,techyesplease,PLbsvRhEyGkKfDtnQKI5IKQGSzgqpX-kCz
238,JavaScript Arrays,Steve Griffith,PLyuRouwmQCjnupe_ohQgFvwFZF8dycwK8
239,Javascript Challenges,Coding Addict,PLnHJACx3NwAdQElswAscNtHAZLAQYgpDA
240,Curso de Javascript,Node Studio Treinamentos,PLwXQLZ3FdTVF9Y0RbsuN54XYP7D0dZIlR
241,"Full Stack Web Developer Course - HTML/CSS/JavaScript + NodeJS, Express, and MongoDB",Joshua Bastean,PLQSmIhc0GVPPhpBAC3y6xChtOz3RJ8abN
242,JavaScript Tutorial For Beginners | Edureka,edureka!,PL9ooVrP1hQOGoYVit61V7Y1uPzfnBvN86
243,JavaScript Tutorials,Corey Schafer,PL-osiE80TeTucQUM10Ezv4S7SVoFozLMK
244,JavaScript Tutorial for Beginners &amp; professionals | 2020 | UiBrains | NAVEEN SAGGAM,UiBrains Technologies,PLgp11Hu-N4DT4AdRvvFkuKuqaRCE7rnro
245,JavaScript Course in Tamil,CyberDude Networks Pvt. Ltd.,PL73Obo20O_7ihsIM5K-hHYPrcqkkdQcLa
246,Основы Java Script,ITDoctor,PLuY6eeDuleINjS4_G7KuYThU_T4uzpAuG
247,JavaScript EcmaScript 6 Tutorial,Daily Tuition,PLynWqC6VC9KNTc9rkWl7rRV6gYWOhujhB
248,Tutorial JavaScript Bahasa Indonesia Lengkap,IDStack,PL1aMeb5UP_PGc_FLQa9iD5KkFB9L2cXqF
249,JavaScript (Bangla Tutorial),Habib Pro,PLgV_1MHT7FcTLw8l3pWYWxSuxzu4iufS9
